ticker,date,quantity,price,action
AAPL,2023-01-10,25,130.73,BUY
MSFT,2023-01-18,15,235.81,BUY
TSLA,2023-02-03,20,189.98,BUY
NVDA,2023-02-14,10,229.71,BUY
AMZN,2023-03-02,30,92.13,BUY
GOOGL,2023-03-16,18,101.62,BUY
META,2023-04-05,12,211.48,BUY
AMD,2023-04-21,40,89.37,BUY
JPM,2023-05-09,22,136.45,BUY
BAC,2023-05-26,60,28.14,BUY
AAPL,2023-06-12,10,183.79,SELL
TSLA,2023-06-27,8,250.21,SELL
NVDA,2023-07-11,5,424.05,SELL
MSFT,2023-07-25,7,350.98,SELL
AMZN,2023-08-08,20,139.94,BUY
GOOGL,2023-08-24,10,129.88,SELL
META,2023-09-06,6,299.17,SELL
AMD,2023-09-19,25,102.76,BUY
JPM,2023-10-04,12,145.02,SELL
BAC,2023-10-20,35,26.91,BUY
AAPL,2023-11-07,18,181.82,BUY
NVDA,2023-11-21,7,499.44,BUY
MSFT,2023-12-05,9,372.52,BUY
TSLA,2023-12-18,12,252.08,BUY
AMZN,2024-01-09,16,151.37,BUY
GOOGL,2024-01-26,14,152.19,BUY
META,2024-02-12,9,468.90,BUY
AMD,2024-02-28,20,176.54,SELL
JPM,2024-03-14,18,191.22,BUY
BAC,2024-03-29,50,37.91,SELL
NVDA,2024-04-16,6,874.15,SELL
AAPL,2024-05-03,12,183.38,SELL
MSFT,2024-05-22,11,430.52,SELL
AMZN,2024-06-10,24,185.01,SELL
GOOGL,2024-07-01,15,182.99,SELL
TSLA,2024-07-18,30,249.23,BUY
META,2024-08-07,8,518.47,SELL
AMD,2024-09-12,35,150.77,BUY
JPM,2024-10-25,10,222.90,SELL
BAC,2024-12-09,45,45.62,BUY
